"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"06035C104KAT2A","AVX Corporation","478-5052-1-ND","","","Cut Tape (CT)","Active","41","0.07700","$3.15","5849716","12 Weeks","CAP CER 0.1UF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"GCM21BR72A104KA37L","Murata Electronics","490-4789-1-ND","","","Cut Tape (CT)","Active","2","0.40000","$0.80","10568555","27 Weeks","CAP CER 0.1UF 100V X7R 0805","ROHS3 Compliant","Lead free","Not Available"
"C2012X5R1V226M125AC","TDK Corporation","445-14428-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","200234","12 Weeks","CAP CER 22UF 35V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0603C221J5GACAUTO","KEMET","399-6868-1-ND","","","Cut Tape (CT)","Active","10","0.11100","$1.11","23537","10 Weeks","CAP CER 220PF 50V C0G/NP0 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"BZX384C3V3-E3-08","Vishay General Semiconductor - Diodes Division","BZX384C3V3-E3-08GICT-ND","","","Cut Tape (CT)","Active","14","0.23800","$3.33","9664","24 Weeks","DIODE ZENER 3.3V 200MW SOD323","ROHS3 Compliant","Lead free","REACH Unaffected"
"SMBJ5353B-TP","Micro Commercial Co","SMBJ5353B-TPMSTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","4556","30 Weeks","DIODE ZENER 16V 5W DO214AA","ROHS3 Compliant","Lead free","REACH Unaffected"
"1264EY-3R3N=P3","Murata Electronics","490-10821-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","0","21 Weeks","FIXED IND 3.3UH 4.8A 21 MOHM","ROHS3 Compliant","Lead free","Not Available"
"CD74HC4067M96","Texas Instruments","296-29408-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","8703","6 Weeks","IC MUX/DEMUX 1X16 24SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"TPS565201DDCT","Texas Instruments","296-47501-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","505","6 Weeks","IC REG BUCK ADJ 5A TSOT23-6","ROHS3 Compliant","Lead free","REACH Unaffected"
"ADT7476AARQZ-R","ON Semiconductor","ADT7476AARQZ-ROSTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","1916","45 Weeks","IC REMOTE THERMAL CTLR 24QSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"150060VS75000","W端rth Elektronik","732-4980-1-ND","","","Cut Tape (CT)","Active","10","0.19000","$1.90","37752","10 Weeks","LED GREEN CLEAR 0603 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"150060YS75000","W端rth Elektronik","732-4981-1-ND","","","Cut Tape (CT)","Active","24","0.19000","$4.56","53664","10 Weeks","LED YELLOW CLEAR 0603 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRCW06030000Z0EAHP","Vishay Dale","541-0.0SBCT-ND","","","Cut Tape (CT)","Active","18","0.17400","$3.13","314689","18 Weeks","RES SMD 0 OHM JUMPER 1/3W 0603","ROHS3 Compliant","Lead free","Not Available"
"PMR18EZPFU6L00","Rohm Semiconductor","RHM.006ALTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","12704","10 Weeks","RES 0.006 OHM 1% 1W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0603-FX-1211ELF","Bourns Inc.","CR0603-FX-1211ELFCT-ND","","","Cut Tape (CT)","Active","14","0.02400","$0.33","72098","14 Weeks","RES SMD 1.21K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-3AEB3651V","Panasonic Electronic Components","P3.65KDBCT-ND","","","Cut Tape (CT)","Active","3","0.46000","$1.38","3825","22 Weeks","RES SMD 3.65KOHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-074K7L","Yageo","311-4.70KHRCT-ND","","","Cut Tape (CT)","Active","53","0.03400","$1.80","3477167","20 Weeks","RES SMD 4.7K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-0710KL","Yageo","311-10.0KHRCT-ND","","","Cut Tape (CT)","Active","33","0.03400","$1.12","23661644","20 Weeks","RES SMD 10K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-3EKF4702V","Panasonic Electronic Components","P47.0KHCT-ND","","","Cut Tape (CT)","Active","26","0.05200","$1.35","70160","22 Weeks","RES SMD 47K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-3EKF5492V","Panasonic Electronic Components","P54.9KHTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","40480","22 Weeks","RES SMD 54.9K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-3AEB620V","Panasonic Electronic Components","P62DBCT-ND","","","Cut Tape (CT)","Active","3","0.46000","$1.38","17481","22 Weeks","RES SMD 62 OHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603JR-07100KL","Yageo","311-100KGRCT-ND","","","Cut Tape (CT)","Active","7","0.15000","$1.05","3920621","20 Weeks","RES SMD 100K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"YC164-JR-074K7L","Yageo","YC164J-4.7KCT-ND","","","Cut Tape (CT)","Active","9","0.15000","$1.35","180499","20 Weeks","RES ARRAY 4 RES 4.7K OHM 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-3AEB103V","Panasonic Electronic Components","P10KDBCT-ND","","","Cut Tape (CT)","Active","5","0.46000","$2.30","269439","22 Weeks","RES SMD 10K OHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-0733KL","Yageo","311-33.0KHRTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","1617064","20 Weeks","RES SMD 33K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"9774050151R","W端rth Elektronik","732-7095-1-ND","","","Cut Tape (CT)","Active","4","1.60000","$6.40","14458","22 Weeks","RND STANDOFF M2.5X0.45 STEEL 5MM","ROHS3 Compliant","Lead free","REACH Affected"
"C1210C226K4PACTU","KEMET","399-5092-1-ND","","","Cut Tape (CT)","Active","2","0.73000","$1.46","95105","17 Weeks","CAP CER 22UF 16V X5R 1210","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-1010KL","Yageo","13-RC0603FR-1010KLCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","963","20 Weeks","RES 10K OHM 1% 1/10W 0603","ROHS3 Compliant","Not Available","REACH Unaffected"
"GCM188R71H683KA57D","Murata Electronics","490-8027-1-ND","","","Cut Tape (CT)","Not For New Designs","3","0.36000","$1.08","1972764","27 Weeks","CAP CER 0.068UF 50V X7R 0603","ROHS3 Compliant","Lead free","Not Available"
"UMK107AB7105KA-T","Taiyo Yuden","587-3247-1-ND","","","Cut Tape (CT)","Active","8","0.39000","$3.12","1117881","17 Weeks","CAP CER 1UF 50V X7R 0603","ROHS3 Compliant","Lead free","Not Available"
"GRM188R61E225KA12D","Murata Electronics","490-10731-1-ND","","","Cut Tape (CT)","Active","2","0.22000","$0.44","47584","23 Weeks","CAP CER 2.2UF 25V X5R 0603","ROHS3 Compliant","Lead free","Not Available"
"C0603C104K5RACTU","KEMET","399-5089-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","2690929","11 Weeks","CAP CER 0.1UF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"EEE-1HA4R7NP","Panasonic Electronic Components","PCE4304CT-ND","","","Cut Tape (CT)","Active","5","0.69000","$3.45","17596","30 Weeks","CAP ALUM 4.7UF 20% 50V SMD","RoHS Compliant","Lead free","Not Available"
"GRT31CR61H106ME01L","Murata Electronics","490-12457-1-ND","","","Cut Tape (CT)","Active","12","0.44000","$5.28","556335","27 Weeks","CAP CER 10UF 50V X5R 1206","ROHS3 Compliant","Lead free","Not Available"
"BZX84-C33,235","Nexperia USA Inc.","1727-8508-1-ND","","","Cut Tape (CT)","Active","3","0.17000","$0.51","6501","20 Weeks","DIODE ZENER 33V 250MW TO236AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"MMSZ5226BS-7-F","Diodes Incorporated","MMSZ5226BS-FDICT-ND","","","Cut Tape (CT)","Active","3","0.39000","$1.17","2086","17 Weeks","DIODE ZENER 3.3V 200MW SOD323","ROHS3 Compliant","Lead free","REACH Unaffected"
"PDS760Q-13","Diodes Incorporated","PDS760Q-13DITR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","20699","18 Weeks","DIODE SCHOTTKY 60V 7A POWERDI5","ROHS3 Compliant","Contains lead","REACH Affected"
"RCU-0C","TE Connectivity AMP Connectors","A106145CT-ND","","","Cut Tape (CT)","Active","2","0.33000","$0.66","201323","27 Weeks","PC TEST POINT NATURAL","RoHS Compliant","Lead free","Not Available"
"6PCV-02-006","TE Connectivity AMP Connectors","A98481-ND","","","Bulk","Active","1","2.28000","$2.28","13039","25 Weeks","CONN BARRIER STRIP 2CIRC 0.375""","RoHS Compliant","Lead free","Not Available"
"0436500215","Molex","WM1917-ND","","","Tray","Active","4","0.87000","$3.48","56015","5 Weeks","CONN HEADER VERT 2POS 3MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"0430450613","Molex","WM2650-ND","","","Tray","Active","1","2.46000","$2.46","6284","6 Weeks","CONN HEADER VERT 6POS 3MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"SI7997DP-T1-GE3","Vishay Siliconix","SI7997DP-T1-GE3TR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","23747","19 Weeks","MOSFET 2P-CH 30V 60A PPAK SO-8","ROHS3 Compliant","Lead free","Not Available"
"RC0603JR-071KL","Yageo","311-1.0KGRCT-ND","","","Cut Tape (CT)","Active","15","0.02800","$0.42","6177075","20 Weeks","RES SMD 1K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-07100RL","Yageo","311-100HRCT-ND","","","Cut Tape (CT)","Active","11","0.03400","$0.37","3664715","20 Weeks","RES SMD 100 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-0729K4L","Yageo","311-29.4KHRCT-ND","","","Cut Tape (CT)","Active","6","0.15000","$0.90","385949","20 Weeks","RES SMD 29.4K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RT0603FRE0747RL","Yageo","13-RT0603FRE0747RLCT-ND","","","Cut Tape (CT)","Active","3","0.15000","$0.45","9704","20 Weeks","RES SMD 47 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-3RBD1211V","","","","","","","","","","","","","","",""
"CRCW060322R1FKEA","Vishay Dale","541-22.1HCT-ND","","","Cut Tape (CT)","Active","3","0.15000","$0.45","34744","52 Weeks","RES SMD 22.1 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","Not Available"
"CR0603-FX-1502ELF","Bourns Inc.","CR0603-FX-1502ELFCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","129913","14 Weeks","RES SMD 15K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"OPA2197IDGKR","Texas Instruments","296-47349-1-ND","","","Cut Tape (CT)","Active","3","3.65000","$10.95","0","26 Weeks","IC OPAMP GP 2 CIRCUIT 8VSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"LP2985-10DBVR","Texas Instruments","296-24263-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","11558","6 Weeks","IC REG LINEAR 10V 150MA SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"BTS70041EPPXUMA1","Infineon Technologies","BTS70041EPPXUMA1CT-ND","","","Cut Tape (CT)","Active","2","4.35000","$8.70","0","42 Weeks","IC PWR SWTCH N-CHAN 1:1 TSDSO-14","ROHS3 Compliant","Lead free","REACH Unaffected"
"C1H15","","","","","","","","","","","","","","",""
"BTS70401EPAXUMA1","Infineon Technologies","BTS70401EPAXUMA1CT-ND","","","Cut Tape (CT)","Active","7","1.97000","$13.79","0","42 Weeks","IC PWR SWTCH N-CHAN 1:1 TSDSO-14","ROHS3 Compliant","Lead free","REACH Unaffected"
"GRM188R61E475KE11D","Murata Electronics","490-7203-1-ND","","","Cut Tape (CT)","Active","4","0.50000","$2.00","322103","23 Weeks","CAP CER 4.7UF 25V X5R 0603","ROHS3 Compliant","Lead free","Not Available"
"C1206C104K5RAC7800","KEMET","399-C1206C104K5RAC7800CT-ND","","","Cut Tape (CT)","Active","10","0.10500","$1.05","1556275","11 Weeks","CAP CER 0.1UF 50V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"UUJ2E220MNQ1MS","Nichicon","493-6191-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","229","21 Weeks","CAP ALUM 22UF 20% 250V SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"860021373001","W端rth Elektronik","732-8879-1-ND","","","Cut Tape (CT)","Active","2","0.18000","$0.36","124","20 Weeks","CAP ALUM 0.47UF 20% 400V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0603C103J5JAC7867","KEMET","399-13384-1-ND","","","Cut Tape (CT)","Active","2","0.39000","$0.78","2040","11 Weeks","CAP CER 10000PF 50V U2J 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
