pitch,mv,error,velocity
0.0,44983.733325,44971.533325000004,12.2
0.0,39736.655379631506,39722.84507408351,13.81030554799273
0.0,39736.655379631506,39722.84507408351,13.81030554799273
0.0,39736.655379631506,39722.84507408351,13.810305547992728
0.0,39736.655379631506,39722.84507408351,13.81030554799273
0.0,39736.655379631506,39722.84507408351,13.810305547992728
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.655379631506,39722.84507408351,13.810305547992728
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.655379631506,39722.84507408351,13.810305547992728
0.0,39736.655379631506,39722.84507408351,13.810305547992728
0.0,39736.655379631506,39722.84507408351,13.81030554799273
0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.029991004856877904,39736.65537963151,39722.84507408352,13.810305547992726
0.049958395721942765,39736.65537963151,39722.84507408352,13.810305547992726
0.049958395721942765,46719.509831470896,46707.7629420205,11.746889450397537
0.05992815512120789,46719.5098314709,46707.762942020505,11.746889450397536
0.07982998571223732,39736.655379631506,39722.84507408351,13.810305547992728
0.09966865249116204,39736.65537963151,39722.84507408352,13.810305547992726
0.09966865249116204,46719.5098314709,46707.762942020505,11.746889450397534
0.08975817418995054,46719.5098314709,46707.762942020505,11.746889450397534
0.07982998571223732,46719.50983147092,46707.76294202052,11.746889450397532
0.049958395721942765,39736.55214202236,39722.74180060916,13.810341413195973
0.039978687123290044,78412.30475357143,78405.30475357143,7.0
-0.039978687123290044,39736.55214202236,39722.74180060916,13.810341413195973
-0.05992815512120789,39736.55214202237,39722.74180060917,13.810341413195971
-0.09966865249116204,39736.55214202236,39722.74180060916,13.810341413195973
-0.09966865249116204,39736.55214202236,39722.74180060916,13.810341413195973
-0.07982998571223732,39736.55214202236,39722.74180060916,13.810341413195973
-0.049958395721942765,39736.55214202237,39722.74180060917,13.810341413195971
-0.029991004856877904,39736.55214202236,39722.74180060916,13.810341413195973
-0.019997333973150535,78412.30475357143,78405.30475357143,7.0
0.009999666686665238,39736.55214202237,39722.74180060917,13.810341413195971
0.009999666686665238,39736.55214202236,39722.74180060916,13.810341413195973
0.009999666686665238,39736.55214202236,39722.74180060916,13.810341413195973
0.009999666686665238,39736.55214202237,39722.74180060917,13.810341413195971
0.009999666686665238,39736.55214202236,39722.74180060916,13.810341413195973
0.009999666686665238,39736.55214202236,39722.74180060916,13.810341413195973
0.0,39736.55214202236,39722.74180060916,13.810341413195973
-0.009999666686665238,78412.30475357143,78405.30475357143,7.0
-0.009999666686665238,39736.55214202236,39722.74180060916,13.810341413195973
-0.009999666686665238,78412.30475357143,78405.30475357143,7.0
-0.009999666686665238,39736.55214202236,39722.74180060916,13.810341413195973
-0.009999666686665238,39736.55214202236,39722.74180060916,13.810341413195973
0.019997333973150535,78412.30475357143,78405.30475357143,7.0
-0.009999666686665238,39736.55214202236,39722.74180060916,13.810341413195973
-0.009999666686665238,39736.55214202236,39722.74180060916,13.810341413195973
-0.009999666686665238,39736.55425159442,39722.7439109141,13.81034068031942
0.0,78412.30475357143,78405.30475357143,7.0
0.019997333973150535,39736.55425159442,39722.7439109141,13.81034068031942
0.019997333973150535,39736.55425159442,39722.7439109141,13.81034068031942
0.009999666686665238,39736.554251594425,39722.743910914105,13.810340680319419
0.009999666686665238,39736.55425159442,39722.7439109141,13.81034068031942
0.0049999583339583225,39736.55425159442,39722.7439109141,13.81034068031942
-0.009999666686665238,39736.55425159442,39722.7439109141,13.81034068031942
-0.009999666686665238,78412.30475357143,78405.30475357143,7.0
0.0,39736.55425159442,39722.7439109141,13.81034068031942
0.019997333973150535,39736.55425159442,39722.7439109141,13.81034068031942
0.019997333973150535,39736.55425159442,39722.7439109141,13.81034068031942
0.019997333973150535,39736.55425159442,39722.7439109141,13.81034068031942
0.019997333973150535,78412.30475357143,78405.30475357143,7.0
0.019997333973150535,39736.55425159442,39722.7439109141,13.81034068031942
0.019997333973150535,78412.30475357143,78405.30475357143,7.0
0.019997333973150535,39736.55425159442,39722.7439109141,13.81034068031942
0.009999666686665238,39736.55425159442,39722.7439109141,13.81034068031942
-0.009999666686665238,39736.55425159442,39722.7439109141,13.81034068031942
-0.019997333973150535,39736.55425159442,39722.7439109141,13.81034068031942
-0.019997333973150535,78412.30475357143,78405.30475357143,7.0
-0.039978687123290044,39736.55425159442,39722.7439109141,13.81034068031942
-0.029991004856877904,39736.55425159442,39722.7439109141,13.81034068031942
-0.039978687123290044,39736.55425159442,39722.7439109141,13.81034068031942
-0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.029991004856877904,39736.65537963151,39722.84507408352,13.810305547992726
0.029991004856877904,39736.65537963151,39722.84507408352,13.810305547992726
0.0,78412.30475357143,78405.30475357143,7.0
-0.049958395721942765,39736.65537963151,39722.84507408352,13.810305547992726
-0.039978687123290044,39736.65537963151,39722.84507408352,13.810305547992726
-0.029991004856877904,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.655379631506,39722.84507408351,13.810305547992728
0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
-0.0049999583339583225,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.0,78412.30475357143,78405.30475357143,7.0
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,78412.30475357143,78405.30475357143,7.0
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,78412.30475357143,78405.30475357143,7.0
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.0,78412.30475357143,78405.30475357143,7.0
0.009999666686665238,78412.30475357143,78405.30475357143,7.0
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.014998875151850596,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,78412.30475357143,78405.30475357143,7.0
0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
-0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
-0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
-0.019997333973150535,78412.30475357143,78405.30475357143,7.0
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.0,78412.30475357143,78405.30475357143,7.0
-0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
-0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
-0.019997333973150535,39736.65537963151,39722.84507408352,13.810305547992726
-0.009999666686665238,39736.65537963151,39722.84507408352,13.810305547992726
0.0,39736.65537963151,39722.84507408352,13.810305547992726
0.009999666686665238,39736.55214518037,39722.74180376827,13.810341412098863
0.019997333973150535,39736.55214518037,39722.74180376827,13.810341412098863
0.019997333973150535,39736.55214518037,39722.74180376827,13.810341412098863
0.009999666686665238,39736.55214518037,39722.74180376827,13.810341412098863
0.0,78412.30475357143,78405.30475357143,7.0
0.0,39736.55214518037,39722.74180376827,13.810341412098863
0.0,39736.55214518037,39722.74180376827,13.810341412098863
0.0,39736.55214518037,39722.74180376827,13.810341412098863
